,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
178,0.04625,0.1175,-0.0275,-0.07875,0.0575,0.01125,-0.10375,-0.00125,-0.02,-0.01
179,0.06125,0.07375,-0.00375,-0.0575,-0.0275,-0.0125,-0.07125,0.00375,-0.0375,0.02125
180,0.0525,0.0725,0.0525,0.00625,-0.00875,-0.0125,-0.11125,-0.025,0.00375,-0.01125
181,0.03625,0.12125,-0.00125,0.05375,0.05375,0.03,-0.045,-0.0875,-0.03375,0.00375
182,0.06625,0.08875,-0.015,0.055,-0.04625,0.02125,-0.0775,-0.06125,0.04375,-0.02875
183,0.00375,0.07375,0.0275,0.0375,-0.065,0.02375,-0.095,0.005,0.035,-0.0725
184,-0.0225,0.03625,0.09125,0.0225,-0.05,0.0225,-0.07625,0.055,0.045,-0.12625
185,-0.01875,-0.025,0.07125,-0.06375,-0.0125,-0.00875,-0.11625,0.06625,-0.01125,-0.13125
186,-0.04875,-0.01375,0.05,-0.065,-0.01625,0.00625,-0.055,0.09,-0.01375,-0.0975
187,-0.06375,0.0225,0.0525,-0.05625,-0.01375,0.00875,-0.0625,0.05375,-0.01375,-0.0725
188,-0.06875,0.06375,0.095,-0.0325,-0.00875,0.0075,-0.075,0.0675,-0.0325,-0.1225
189,-0.05875,0.095,-0.01,-0.02,-0.045,-0.05,-0.08125,0.07,-0.045,-0.0775
190,-0.02125,0.07125,-0.06375,-0.01,-0.06375,-0.02,-0.09125,0.07,-0.0275,-0.065
191,-0.00125,-0.00125,-0.0325,0.00125,-0.0275,0.035,-0.1475,0.04625,-0.02375,-0.0425
192,-0.025,-0.03,-0.01375,-0.03375,-0.02875,0.03375,-0.13875,0.0575,-0.0225,-0.01375
193,-0.02,0.0275,-0.0275,-0.09,-0.075,0.02375,-0.13625,0.05125,0.01,-0.00125
194,0.00125,-0.0025,-0.06375,0.03625,-0.1175,0.05,-0.0725,0.0475,0.04125,-0.0475
195,0.00375,-0.0275,-0.02875,0.06375,-0.115,0.06625,-0.05,0.06625,-0.01875,-0.10375
196,0.03125,-0.04,0.005,0.0175,-0.06125,0.03,-0.04375,0.0475,-0.02875,-0.11375
197,0.07,-0.05,0.03,0.04375,-0.06375,0.05,0.00375,0.07,-0.0175,-0.1225
198,0.0375,-0.03375,-0.005,0.1175,-0.12,0.0175,-0.0425,0.0325,-0.0075,-0.13625
199,0.03625,0.03,0.0075,0.03375,-0.12,0.0425,-0.00375,0.08375,-0.00375,-0.12875
200,-0.06,0.03,0.01875,0.05,-0.08375,-0.01375,0.04375,0.05,-0.07625,-0.11625
201,0.01875,0.04625,0.0075,-0.01875,-0.0575,0.0725,0.0125,0.055,-0.12625,-0.10125
202,0.04375,0.08125,0.025,-0.05375,-0.07875,0.08125,-0.0225,0.0025,-0.13,-0.055
203,0.065,0.0275,0.0375,-0.01875,-0.1375,0.0675,0.00625,0.0325,-0.1175,-0.05375
204,0.07,0.02625,0.05625,-0.02375,-0.06375,-0.02875,0.02,0.01375,-0.075,0.01875
205,0.09,0.00875,0.02875,-0.025,-0.06375,0.0375,0.0425,-0.05375,-0.05125,0.0275
206,0.0975,0.07125,0.005,-0.05875,-0.05625,0.05125,0.07375,-0.03625,-0.0625,-0.02875
207,0.09875,0.13125,0.0425,-0.0625,0.0075,0.0275,0.0625,-0.035,-0.0175,-0.04375
208,0.1425,0.08125,0.07625,-0.01375,0.02,0.00125,-0.01375,0.005,-0.03375,-0.03375
209,0.14375,0.11,0.03625,-0.035,0.0175,0.01125,-0.06875,-0.02625,-0.03,-0.04375
210,0.10375,0.05875,0.01875,-0.0425,0.0575,0.01125,-0.0775,0.01375,-0.055,-0.02125
211,0.1025,0.045,0.03625,-0.0175,0.07875,0.02125,-0.0325,0.03625,-0.0575,-0.01
212,0.08,0.04625,0.10875,-0.03625,0.08125,0.035,-0.06125,0.0325,-0.12875,0.0575
213,0.03,0.04875,0.045,-0.05875,0.085,0.03125,-0.0075,0.015,-0.17,0.0
214,0.0275,0.1075,0.06625,-0.01375,0.11625,0.035,-0.055,-0.06,-0.2025,0.02
215,0.0275,0.1,0.06625,-0.005,0.0675,0.0475,-0.0425,-0.07125,-0.20125,0.01
216,-0.0225,0.135,0.06625,-0.005,0.08125,0.08625,0.005,-0.02125,-0.1875,0.02625
217,-0.03125,0.175,0.08875,0.04875,0.06375,0.02625,-0.0225,0.01375,-0.14625,-0.01125
218,-0.0625,0.16625,0.06875,0.03,0.02625,0.06875,-0.0325,0.0625,-0.16375,0.03
219,-0.045,0.09125,0.07625,0.05125,0.0625,0.01875,-0.08625,-0.0175,-0.18375,0.04625
220,-0.08,0.0875,0.04125,0.01875,0.09,-0.0475,-0.08625,0.045,-0.135,0.0375
221,-0.0975,0.06625,0.02375,-0.0075,0.1025,-0.07375,-0.1125,0.02,-0.14875,0.03375
222,-0.1025,0.01875,0.0175,-0.03,0.08875,-0.0575,-0.1125,0.08125,-0.155,-0.01125
223,-0.145,0.0025,-0.02375,-0.06,0.07625,-0.01625,-0.095,0.04375,-0.15,0.0975
224,-0.15125,-0.02125,-0.0675,-0.0425,0.0375,-0.04875,-0.0425,0.00375,-0.0975,0.08625
225,-0.08125,-0.0225,-0.03625,-0.005,0.045,-0.02,-0.0575,-0.01875,-0.02875,0.05625
226,-0.10125,-0.0325,-0.0375,0.0125,-0.03125,-0.01625,-0.0425,-0.035,-0.05375,-0.02375
227,-0.0525,-0.05875,-0.04875,0.03125,-0.01125,0.01375,-0.015,-0.11,-0.1,-0.02125
228,-0.04875,-0.0925,-0.06,0.0375,0.00125,0.0375,-0.025,-0.05625,-0.115,-0.035
229,0.00375,-0.04,-0.1225,-0.03875,-0.05125,0.0125,-0.06625,-0.08625,-0.14375,-0.02125
230,0.0,-0.0025,-0.11125,-0.00125,-0.05625,0.07,-0.07125,-0.10875,-0.10625,-0.07875
231,0.0125,0.02125,-0.1,0.03,-0.0125,0.03875,-0.0425,-0.14,-0.15125,-0.03375
232,-0.07,0.02,-0.10375,0.055,0.0275,-0.01,-0.08875,-0.0875,-0.10125,-0.0825
233,-0.0325,0.035,-0.1225,0.02375,-0.01375,0.03125,-0.14,-0.075,-0.045,-0.045
234,-0.08625,-0.0025,-0.11,0.06625,0.0075,0.00625,-0.10375,-0.01375,-0.02125,-0.0575
235,-0.08125,-0.01625,-0.095,0.00875,0.0275,-0.01875,-0.07875,-0.0325,-0.0025,-0.08875
236,-0.135,0.03625,-0.125,0.0625,-0.0175,-0.0125,-0.05125,0.0225,0.03875,-0.08375
237,-0.125,0.01375,-0.16,0.07375,-0.07,-0.02125,-0.09125,0.0375,-0.00375,-0.0875
238,-0.14625,0.02125,-0.09375,0.07,-0.09375,0.0375,-0.025,0.10375,0.0075,-0.07125
239,-0.09,-0.00625,-0.04375,0.05875,-0.10875,0.0675,-0.06875,0.00125,0.0825,-0.0925
240,-0.1275,-0.01875,-0.0425,0.03125,-0.09875,0.10125,-0.0425,0.0075,0.0925,-0.03375
241,-0.0425,0.04875,-0.02625,0.09625,-0.0425,0.08875,-0.07125,-0.00875,0.045,-0.07125
242,0.02625,0.01875,-0.05625,0.06625,-0.05875,0.05875,-0.0675,-0.0825,-0.0125,-0.0125
