,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
211,0.69625,1.0,0.07625,0.9075,-1.0,1.0,-0.69875,-0.86625,-0.895,-0.0625
212,0.70125,1.0,0.08,0.9075,-1.0,1.0,-0.70625,-0.86625,-0.8975,-0.05125
213,0.7075,1.0,0.0675,0.915,-0.99875,1.0,-0.7,-0.865,-0.90125,-0.045
214,0.70875,0.99875,0.0575,0.92125,-1.0,1.0,-0.71125,-0.86875,-0.89875,-0.04
215,0.71875,0.99875,0.05375,0.925,-1.0,1.0,-0.71625,-0.86625,-0.90125,-0.0375
216,0.72875,0.99875,0.04875,0.92625,-1.0,1.0,-0.725,-0.86625,-0.90375,-0.045
217,0.7225,0.99875,0.0425,0.92625,-1.0,1.0,-0.72875,-0.865,-0.91,-0.05
218,0.7275,0.99875,0.035,0.9375,-0.99875,0.99875,-0.735,-0.87125,-0.9175,-0.0475
219,0.73375,0.9975,0.04125,0.9325,-0.99875,1.0,-0.7275,-0.87,-0.92,-0.0475
220,0.73875,0.99875,0.05,0.93375,-1.0,1.0,-0.73,-0.87375,-0.91625,-0.04625
221,0.72625,1.0,0.04625,0.93125,-0.99875,1.0,-0.73125,-0.8825,-0.93,-0.05375
222,0.72875,1.0,0.055,0.9325,-0.99875,1.0,-0.72625,-0.87875,-0.92125,-0.05375
223,0.74625,1.0,0.05,0.93625,-1.0,1.0,-0.735,-0.8975,-0.91375,-0.06
224,0.75375,1.0,0.04375,0.95125,-0.99875,0.9975,-0.73625,-0.89625,-0.9225,-0.0525
225,0.7525,0.99875,0.05375,0.95125,-0.99875,0.9975,-0.74375,-0.90125,-0.93625,-0.0525
226,0.76,0.9975,0.06125,0.95125,-1.0,0.9975,-0.745,-0.9075,-0.9375,-0.05125
227,0.7525,1.0,0.0575,0.96875,-0.99875,0.99875,-0.76,-0.91125,-0.93625,-0.0575
228,0.75,0.99875,0.05875,0.96625,-1.0,0.9975,-0.76,-0.9125,-0.945,-0.0525
229,0.7575,0.99875,0.08,0.97,-1.0,0.99875,-0.76625,-0.92,-0.95375,-0.0425
230,0.76375,1.0,0.08875,0.96875,-1.0,0.99875,-0.7825,-0.925,-0.9525,-0.0425
231,0.76625,1.0,0.08875,0.9725,-0.99875,0.99875,-0.77875,-0.9325,-0.95,-0.04875
232,0.77625,1.0,0.0925,0.975,-0.99875,0.99875,-0.78,-0.94625,-0.9525,-0.04125
233,0.79,1.0,0.10375,0.98,-1.0,1.0,-0.78125,-0.945,-0.95625,-0.035
234,0.79,1.0,0.09875,0.9825,-1.0,1.0,-0.79125,-0.9425,-0.95625,-0.03
235,0.78375,1.0,0.09625,0.99,-1.0,1.0,-0.785,-0.95375,-0.9625,-0.03375
236,0.7825,1.0,0.10375,0.9975,-0.99875,1.0,-0.7875,-0.9575,-0.965,-0.045
237,0.79375,0.99875,0.09,0.9975,-0.99875,1.0,-0.79375,-0.95875,-0.97375,-0.05
238,0.81125,1.0,0.09,1.0,-1.0,1.0,-0.80375,-0.96,-0.9775,-0.0575
239,0.815,0.99875,0.09,0.99875,-1.0,0.9975,-0.81625,-0.97,-0.98125,-0.0475
240,0.825,1.0,0.1075,1.0,-1.0,1.0,-0.81,-0.96625,-0.98625,-0.04375
